name,address,lat,lng,place_id,rating,user_ratings_total,types
Davis Food Co-op,"620 G St, Davis, CA 95616, United States",38.5493207,-121.740026,ChIJIxr01p8phYAR8FDlyrQ3DQE,4.6,1056.0,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Fast & Easy Mart,"140 B St, Davis, CA 95616, United States",38.5426203,-121.7439707,ChIJ6_TBmQwphYARFqWiXnJb12A,2.5,29.0,"['convenience_store', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Grocery Outlet,"1800 E 8th St Suite B, Davis, CA 95616, United States",38.5526227,-121.7297644,ChIJvzf9uoIphYARCYMgDCAXErg,4.4,706.0,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Havana Mini Mart,"233 F St, Davis, CA 95616, United States",38.5443533,-121.7403969,ChIJI7c2fbcphYARjqvVeO79WFs,3.1,23.0,"['convenience_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Ho Ho Market,"132 E St #140, Davis, CA 95616, United States",38.5427695,-121.7407066,ChIJTUf3FHMphYARP2HYBYY3FeQ,4.3,84.0,"['liquor_store', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Ikeda's Markets,"26295 Mace Blvd, Davis, CA 95618, United States",38.5561665,-121.6936949,ChIJ94Eie5MrhYARf0Vg8eJojtQ,4.5,458.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
International Food Market,"1760 E 8th St, Davis, CA 95616, United States",38.5526837,-121.7306398,ChIJsS-myIIphYARZi4BMXFCHXI,4.4,111.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Kims Mart,"628 4th St, Davis, CA 95616, United States",38.5458289,-121.7411941,ChIJUbJK3HQphYARDf94OgCKGJE,4.6,464.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Kobe Mini Mart,"213 E St suite a, Davis, CA 95616, United States",38.5437182,-121.7413633,ChIJvebnWHMphYARVtVOXfCnNco,4.7,191.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Mercado Davis,"1260 Lake Blvd, Davis, CA 95616, United States",38.5542822,-121.7869453,ChIJY03B1EgphYARngCLkawhxz4,5.0,19.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Nugget Markets,"311 Mace Blvd, Davis, CA 95618, United States",38.5594971,-121.6948645,ChIJU-xgubUrhYARKLT2Qx1RAm4,,,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Nugget Markets,"409 Mace Blvd, Davis, CA 95618, United States",38.5499877,-121.6957009,ChIJb0xgkbgrhYARfn19EmZGX5c,4.6,771.0,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Nugget Markets,"1414 E Covell Blvd, Davis, CA 95616, United States",38.5610143,-121.7330807,ChIJbViPb5AphYARTSpJ9qQdaJI,4.6,1375.0,"['grocery_or_supermarket', 'supermarket', 'bakery', 'liquor_store', 'point_of_interest', 'store', 'food', 'establishment']"
Oakshade Town Center,"2107-2151 Cowell Blvd, Davis, CA 95618, United States",38.5412639,-121.7244422,ChIJ56jbYmMphYARH_dd7uMdTeM,4.3,916.0,"['shopping_mall', 'grocery_or_supermarket', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
Safeway,"2121 Cowell Blvd, Davis, CA 95618, United States",38.5413699,-121.725185,ChIJve6asDUohYARu2CHRuDsLKE,4.2,863.0,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'store', 'food', 'establishment']"
Safeway,"1451 W Covell Blvd, Davis, CA 95616, United States",38.5621327,-121.766313,ChIJo_TPTTUohYARIx5AnhEIWPg,4.0,777.0,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'store', 'food', 'establishment']"
Save Mart,"1900 Anderson Rd, Davis, CA 95616, United States",38.559915,-121.7580297,ChIJI4jx87YphYARI46W0788Ln8,4.1,609.0,"['grocery_or_supermarket', 'meal_delivery', 'supermarket', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
